X,Y,SITENUMBER,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,COMPLIANCE_MONITORING,FLOOD_CONTROL,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,OBJECTID
1338708.3712,5008203.1688,590604,LAUDER D.S.I.R. B,LAUDER D.S.I.R. B,LAUDER D.S.I.R. B AT LAUDER D.S.I.R. B,,N,,N,,,,,,,,,,,,371,2248629,5569909,G41:48629-69909,1338708,5008203,CC14:3870-0820,3413067
1338708.3712,5008203.1688,590605,LAUDER EWS,LAUDER EWS,LAUDER EWS AT LAUDER EWS,,N,,N,,,,,,,,,,,,370,2248629,5569909,G41:48629-69909,1338708,5008203,CC14:3870-0820,3413068
1343847.5269,5012089.8929,590701,BECKS,BECKS,BECKS AT BECKS,,N,,N,,,,,,,,,,,,390,2253769,5573789,H41:53769-73789,1343847,5012089,CB14:4384-1208,3413069
1340176.5553,5011046.0402,590702,LAUDER FLAT,LAUDER FLAT,LAUDER FLAT AT LAUDER FLAT,,N,,N,,,,,,,,,,,,366,2250099,5572749,H41:50099-72749,1340176,5011046,CB14:4017-1104,3413070
1342507.8864,5012036.6624,590703,BECKS NO 2,BECKS NO 2,BECKS NO 2 AT BECKS NO 2,,N,,N,,,,,,,,,,,,390,2252430,5573737,H41:52430-73737,1342507,5012036,CB14:4250-1203,3413071
1344288.1758,5000974.6941,591701,"POOLBURN,ARMSTRONG","POOLBURN,ARMSTRONG","POOLBURN,ARMSTRONG AT POOLBURN,ARMSTRONG",,N,,N,,,,,,,,,,,,424,2254199,5562679,H41:54199-62679,1344288,5000974,CC14:4428-0097,3413072
1663858.5276,5387094.8323,899999,TYNTESFIELD,TYNTESFIELD,TYNTESFIELD AT TYNTESFIELD,,N,,N,,,,,,,,,,,,305,2573869,5948789,P29:73869-48789,1663858,5387094,BR28:6385-8709,3413116
1329318.9022,5092434.8048,439610,AHURIRI RIVER,BASE HUT,AHURIRI RIVER AT BASE HUT,T,T,,N,,,,,,,,,,,,,2239299,5654099,G38:39299-54099,1329318,5092434,BZ14:2931-9243,3413117
1559631.3332,5353450.9908,120636,MATAKITAKI,MATAKI LODGE,MATAKITAKI AT MATAKI LODGE,,N,,N,,,,,,,,,,,,518,2469612,5915121,M30:69612-15121,1559631,5353450,BS23:5963-5345,3415691
1557182.0107,5352171.7874,129401,MATAKI STATION,MATAKI STATION,MATAKI STATION AT MATAKI STATION,,N,,N,,,,,,,,,,,,396,2467162,5913841,M30:67162-13841,1557182,5352171,BS23:5718-5217,3415692
1559968.5702,5355848.1139,129510,OXNAMS FLAT,OXNAMS FLAT,OXNAMS FLAT AT OXNAMS FLAT,,N,,N,,,,,,,,,,,,457,2469949,5917519,M30:69949-17519,1559968,5355848,BS23:5996-5584,3415693
1572394.4458,5357795.7078,129602,MT MISERY SUMMIT,MT MISERY SUMMIT,MT MISERY SUMMIT AT MT MISERY SUMMIT,,N,,N,,,,,,,,,,,,1601,2482379,5919469,M30:82379-19469,1572394,5357795,BS24:7239-5779,3415694
1572394.4458,5357795.7078,129603,MT MISERY BUSHLINE,MT MISERY BUSHLINE,MT MISERY BUSHLINE AT MT MISERY BUSHLINE,,N,,N,,,,,,,,,,,,1450,2482379,5919469,M30:82379-19469,1572394,5357795,BS24:7239-5779,3415695
1577886.9916,5354042.2473,129701,CUPOLA BASIN,CUPOLA BASIN,CUPOLA BASIN AT CUPOLA BASIN,,N,,N,,,,,,,,,,,,1433,2487874,5915715,M30:87874-15715,1577886,5354042,BS24:7788-5404,3415696
1579304.2503,5352266.6604,129710,JOHN TAIT HUT,JOHN TAIT HUT,JOHN TAIT HUT AT JOHN TAIT HUT,,N,,N,,,,,,,,,,,,796,2489292,5913939,M30:89292-13939,1579304,5352266,BS24:7930-5226,3415697
1591727.957,5352295.9944,129902,RAINBOW RISE,RAINBOW RISE,RAINBOW RISE AT RAINBOW RISE,,N,,N,,,,,,,,,,,,,2501720,5913970,N30:01720-13970,1591727,5352295,BS25:9172-5229,3415698
1663858.5276,5387094.8323,136710,TYNTESFIELD,TYNTESFIELD,TYNTESFIELD AT TYNTESFIELD,,N,,N,,,,,,,,,,,,305,2573869,5948789,P29:73869-48789,1663858,5387094,BR28:6385-8709,3415699
1662188.5279,5383605.9834,136749,OMAKA,RAMSHEAD SADDLE,OMAKA AT RAMSHEAD SADDLE,,N,,N,,,,,,,,,,,,640,2572199,5945299,P29:72199-45299,1662188,5383605,BR28:6218-8360,3415700
