Site Name,Last Sample,Last Hour,RainToday,-1 Day,-2 Day,-3 Day,-4 Day,-5 Day,-6 Day,-7 Day,Total Rainfall,SITE_NO,ShortName,Sub_text,SiteOwner,Location,WGS84_Longitude,WGS84_Latitude,OwnerLogo
Turtons Saddle,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,18.0,0.0,0.0,0.0,0.0,18.5,314412,Turtons Saddle, ,ECan,S,171.3629,-43.35631,/assets/logos/ecan-logo.gif
Cookies Hut,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,21.0,0.5,0.5,0.0,4.0,26.0,314411,Cookies Hut, ,ECan,S,171.4343,-43.49516,/assets/logos/ecan-logo.gif
Mount Hutt,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,5.5,1.0,1.5,11.5,5.5,25.0,315510,Mount Hutt, ,ECan,S,171.5351,-43.53661,/assets/logos/ecan-logo.gif
Mount Somers,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,9.5,0.0,0.5,0.0,10.5,20.5,316310,Mount Somers, ,ECan,S,171.3098,-43.61217,/assets/logos/ecan-logo.gif
Boundary Creek,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,37.0,1.5,0.0,0.0,4.5,43.0,315010,Boundary Creek, ,ECan,S,171.0627,-43.52209,/assets/logos/ecan-logo.gif
Staveley,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,5.0,7.0,316404,Staveley, ,ECan,S,171.4435,-43.64069,/assets/logos/ecan-logo.gif
Lake Stream,24/09/2021 3:05:00 PM,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,24.5,313101,Lake Stream, ,ECan,S,171.1555,-43.38943,/assets/logos/ecan-logo.gif
Mistake Flats,24/09/2021 3:00:00 PM,0.0,1.0,0.0,0.0,90.0,14.0,3.5,0.0,0.0,108.5,304610,Mistake Flats, ,ECan,S,170.6938,-43.44962,/assets/logos/ecan-logo.gif
Erewhon,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,2.5,50.5,305810,Erewhon, ,ECan,S,170.8548,-43.51715,/assets/logos/ecan-logo.gif
Hinds Plains,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,319602,Hinds Plains, ,ECan,S,171.6814,-43.97682,/assets/logos/ecan-logo.gif
Klondyke,24/09/2021 3:05:00 PM,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.0,11.5,317210,Klondyke, ,ECan,S,171.2204,-43.76053,/assets/logos/ecan-logo.gif
Blandswood,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.5,7.5,319211,Blandswood, ,ECan,S,171.2327,-43.90261,/assets/logos/ecan-logo.gif
Mount Frances,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,5.5,10.0,419211,Mount Frances, ,ECan,S,171.1667,-43.92136,/assets/logos/ecan-logo.gif
Woodbury,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,410111,Woodbury, ,ECan,S,171.1586,-44.03759,/assets/logos/ecan-logo.gif
Geraldine Forest,24/09/2021 3:00:00 PM,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.5,4.0,7.5,410010,Geraldine Forest, ,ECan,S,171.0121,-44.05957,/assets/logos/ecan-logo.gif
Kakahu Bush,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,411012,Kakahu Bush, ,ECan,S,171.0804,-44.1357,/assets/logos/ecan-logo.gif
Lochaber,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.5,9.5,318013,Lochaber, ,ECan,S,171.0618,-43.84114,/assets/logos/ecan-logo.gif
Clayton,24/09/2021 3:00:00 PM,0.0,0.0,0.0,2.5,16.5,"","","","",19.0,309810,Clayton, ,ECan,S,170.8497,-43.87017,/assets/logos/ecan-logo.gif
Kimbell,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,6.5,8.5,400710,Kimbell, ,ECan,S,170.724,-44.045,/assets/logos/ecan-logo.gif
