Site Name,Last Sample,Last Hour,RainToday,-1 Day,-2 Day,-3 Day,-4 Day,-5 Day,-6 Day,-7 Day,Total Rainfall,SITE_NO,ShortName,Sub_text,SiteOwner,Location,WGS84_Longitude,WGS84_Latitude,OwnerLogo
Shingle Fan,24/09/2021 3:00:00 PM,0.0,0.0,1.5,12.0,0.0,0.0,0.0,0.0,6.0,19.5,231910,Shingle Fan, ,ECan,N,173.9013,-42.10688,/assets/logos/ecan-logo.gif
Clinton Ridge,24/09/2021 3:00:00 PM,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,17.5,28.0,232710,Clinton Ridge, ,ECan,N,173.7131,-42.2541,/assets/logos/ecan-logo.gif
Snowflake,24/09/2021 3:00:00 PM,0.0,0.0,0.5,7.0,0.0,0.0,2.0,22.5,0.0,32.0,233510,Snowflake, ,ECan,N,173.5739,-42.29771,/assets/logos/ecan-logo.gif
Luke Creek,24/09/2021 3:00:00 PM,0.0,0.0,0.5,5.5,0.0,0.0,0.0,0.0,13.5,19.5,233610,Luke Creek, ,ECan,N,173.622,-42.33548,/assets/logos/ecan-logo.gif
Kahutara,24/09/2021 3:30:00 PM,0.0,0.0,0.5,7.0,0.0,0.0,0.0,1.5,16.5,25.5,233402,Kahutara, ,ECan,N,173.4233,-42.34317,/assets/logos/ecan-logo.gif
Rosy Morn,24/09/2021 3:00:00 PM,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,5.0,9.5,234511,Rosy Morn, ,ECan,N,173.5508,-42.4491,/assets/logos/ecan-logo.gif
Cloudy Range,24/09/2021 3:00:00 PM,0.0,0.0,0.5,2.0,0.0,0.0,0.0,7.0,4.0,13.5,234201,Cloudy Range, ,ECan,N,173.226,-42.43194,/assets/logos/ecan-logo.gif
Malings Pass,24/09/2021 2:00:00 PM,0.0,0.0,1.0,7.5,8.0,1.5,0.5,0.0,0.0,18.5,222610,Malings Pass, ,ECan,N,172.6546,-42.22203,/assets/logos/ecan-logo.gif
Glynn Wye,24/09/2021 12:00:00 PM,0.0,0.5,2.0,0.0,2.5,0.0,0.0,0.0,4.5,9.5,226510,Glynn Wye, ,ECan,N,172.5094,-42.58978,/assets/logos/ecan-logo.gif
Percival River,24/09/2021 3:30:00 PM,0.0,0.0,0.5,0.0,0.0,2.5,0.0,0.0,5.5,8.5,227502,Percival River, ,ECan,N,172.7961,-42.56021,/assets/logos/ecan-logo.gif
Marble Point,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.5,9.0,227810,Marble Point, ,ECan,N,172.7722,-42.64066,/assets/logos/ecan-logo.gif
Stanton (NIWA),24/09/2021 12:45:00 PM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,236113,Stanton (NIWA), ,NIWA,N,173.1426,-42.63193,/assets/logos/niwa.png
Mason at Airstrip,24/09/2021 3:30:00 PM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.5,9.5,235113,Mason at Airstrip, ,ECan,N,173.1083,-42.56221,/assets/logos/ecan-logo.gif
Lowry Hills,24/09/2021 3:00:00 PM,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,237101,Lowry Hills, ,ECan,N,173.1052,-42.7928,/assets/logos/ecan-logo.gif
Hurunui North Esk,24/09/2021 2:00:00 PM,0.0,0.0,3.0,0.0,48.0,0.0,2.0,0.0,0.0,53.0,228213,Hurunui North Esk, ,ECan,N,172.1573,-42.8215,/assets/logos/ecan-logo.gif
Hurunui SH1,24/09/2021 3:00:00 PM,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,3.0,239101,Hurunui SH1, ,ECan,N,173.0944,-42.89398,/assets/logos/ecan-logo.gif
Waikari Pannetts Rd,24/09/2021 2:00:00 PM,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,3.0,229910,Waikari Pannetts Rd, ,ECan,N,172.9252,-42.93805,/assets/logos/ecan-logo.gif
White Gorge,24/09/2021 3:00:00 PM,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,321610,White Gorge, ,ECan,N,172.6142,-43.06407,/assets/logos/ecan-logo.gif
Mount Byrne,24/09/2021 2:00:00 PM,0.0,4.5,4.0,1.5,102.0,5.5,15.0,2.0,0.0,134.5,217810,Mount Byrne, ,ECan,N,171.8638,-42.75267,/assets/logos/ecan-logo.gif
Ranger Stream,24/09/2021 12:00:00 PM,0.0,0.0,1.0,0.0,49.5,0.5,3.0,0.0,0.0,54.0,218810,Ranger Stream, ,ECan,N,171.854,-42.86847,/assets/logos/ecan-logo.gif
Bull Creek,24/09/2021 3:00:00 PM,0.0,0.0,1.0,0.0,43.5,0.5,3.0,0.0,1.0,49.0,219910,Bull Creek, ,ECan,N,171.9704,-42.89973,/assets/logos/ecan-logo.gif
Kanuka Hills (Esk River),24/09/2021 2:00:00 PM,0.0,0.0,1.0,0.0,40.5,0.0,0.5,0.0,3.0,45.0,320010,Kanuka Hills (Esk River), ,ECan,N,172.0538,-42.9944,/assets/logos/ecan-logo.gif
Arthur's Pass,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,80.5,1.5,23.0,2.5,0.0,108.0,219510,Arthur's Pass, ,ECan,N,171.563,-42.9416,/assets/logos/ecan-logo.gif
Carrington,24/09/2021 3:00:00 PM,0.0,1.5,2.0,0.0,125.5,10.0,36.0,3.0,0.0,178.0,310510,Carrington, ,ECan,N,171.4485,-42.96286,/assets/logos/ecan-logo.gif
Grasmere,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.5,25.5,311810,Grasmere, ,ECan,N,171.7678,-43.05628,/assets/logos/ecan-logo.gif
Waimakariri Esk,24/09/2021 3:00:00 PM,0.0,0.5,0.5,0.0,25.5,0.0,0.0,0.0,2.5,29.0,311910,Waimakariri Esk, ,ECan,N,171.963,-43.11772,/assets/logos/ecan-logo.gif
Cheeseman,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,38.0,321710,Cheeseman, ,ECan,N,171.6919,-43.18015,/assets/logos/ecan-logo.gif
Pig Flat,24/09/2021 3:00:00 PM,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,3.5,321310,Pig Flat, ,ECan,N,172.343,-43.05452,/assets/logos/ecan-logo.gif
Lees Valley,24/09/2021 2:00:00 PM,0.0,0.0,1.5,0.0,14.5,0.0,0.0,0.0,5.0,21.0,321212,Lees Valley, ,ECan,N,172.1801,-43.09244,/assets/logos/ecan-logo.gif
Townshend,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,22.5,0.0,0.0,0.0,4.0,27.0,322110,Townshend, ,ECan,N,172.0746,-43.18983,/assets/logos/ecan-logo.gif
Okuku Fox Creek,24/09/2021 3:00:00 PM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322410,Okuku Fox Creek, ,ECan,N,172.3886,-43.14207,/assets/logos/ecan-logo.gif
Ashley Gorge,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,1.0,3.5,322211,Ashley Gorge, ,ECan,N,172.2171,-43.22989,/assets/logos/ecan-logo.gif
Okuku School,24/09/2021 3:00:00 PM,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322411,Okuku School, ,Ecan,N,172.4464,-43.23605,/assets/logos/ecan-logo.gif
Cust Main Drain,24/09/2021 3:30:00 PM,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,323610,Cust Main Drain, ,ECan,N,172.6127,-43.36243,/assets/logos/ecan-logo.gif
Kainga Yard,24/09/2021 3:30:00 PM,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,324611,Kainga Yard, ,ECan,N,172.654,-43.41655,/assets/logos/ecan-logo.gif
Eyrewell,24/09/2021 3:30:00 PM,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,324201,Eyrewell, ,ECan,N,172.254,-43.43421,/assets/logos/ecan-logo.gif
13 Mile Bush,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,15.0,313710,13 Mile Bush, ,ECan,N,171.7893,-43.38951,/assets/logos/ecan-logo.gif
High Peak,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,7.0,1.5,0.0,0.0,2.5,11.0,314701,High Peak, ,ECan,N,171.7442,-43.44532,/assets/logos/ecan-logo.gif
Whitecliffs,24/09/2021 3:00:00 PM,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,1.5,3.5,315910,Whitecliffs, ,ECan,N,171.8938,-43.46254,/assets/logos/ecan-logo.gif
Ridgens Rd,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,326112,Ridgens Rd, ,ECan,N,172.0979,-43.60829,/assets/logos/ecan-logo.gif
Lower Styx (CCC),24/09/2021 2:55:00 PM,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,324607,Lower Styx (CCC), ,CCC,N,172.6824,-43.4444,/assets/logos/ccc.png
Tyrone St Belfast (CCC),24/09/2021 3:00:00 PM,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,324608,Tyrone St Belfast (CCC), ,CCC,N,172.6379,-43.44337,/assets/logos/ccc.png
Firestone Langdons (CCC),24/09/2021 2:30:00 PM,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,324610,Firestone Langdons (CCC), ,CCC,N,172.6043,-43.49116,/assets/logos/ccc.png
Botanic Gardens (CCC),24/09/2021 3:05:00 PM,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.6,325616,Botanic Gardens (CCC), ,CCC,N,172.6188,-43.52972,/assets/logos/ccc.png
College of Education(CCC),24/09/2021 2:30:00 PM,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,325507,College of Education(CCC), ,CCC,N,172.5657,-43.52323,/assets/logos/ccc.png
Sumner Van Asch (CCC),24/09/2021 2:35:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325711,Sumner Van Asch (CCC), ,CCC,N,172.7559,-43.58049,/assets/logos/ccc.png
Upper Bowenvale Valley (CCC),24/09/2021 2:30:00 PM,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.8,326616,Upper Bowenvale Valley (CCC), ,CCC,N,172.6494,-43.60002,/assets/logos/ccc.png
Sparks Rd (CCC),24/09/2021 2:30:00 PM,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,325618,Sparks Rd (CCC), ,CCC,N,172.6025,-43.56747,/assets/logos/ccc.png
Worsleys Road (CCC),24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,326617,Worsleys Road (CCC), ,CCC,N,"","",/assets/logos/ccc.png
Akaroa EWS (NIWA),24/09/2021 2:50:00 PM,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.6,328905,Akaroa EWS (NIWA), ,NIWA,N,172.9657,-43.80938,/assets/logos/niwa.png
Duvauchelles at Akaroa (CCC),24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327902,Duvauchelles at Akaroa (CCC), ,CCC,N,"","",/assets/logos/ccc.png
Christchurch Akaroa Highway (C,24/09/2021 2:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.6,327804,Christchurch Akaroa Highway (CCC), ,CCC,N,172.8459,-43.75187,/assets/logos/ccc.png
Halswell Ryans Bridge,24/09/2021 2:05:00 PM,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,326512,Halswell Ryans Bridge, ,ECan,N,172.5419,-43.66198,/assets/logos/ecan-logo.gif
Coopers Knob,24/09/2021 3:30:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326611,Coopers Knob, ,ECan,N,172.6208,-43.65304,/assets/logos/ecan-logo.gif
Kaituna,24/09/2021 3:00:00 PM,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,328711,Kaituna, ,ECan,N,172.682,-43.75672,/assets/logos/ecan-logo.gif
Taumutu,24/09/2021 3:30:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328310,Taumutu, ,ECan,N,172.3767,-43.8489,/assets/logos/ecan-logo.gif
